,Id,Sentiment,Instagram Comment Text,label,clean_teks
14,15,negative,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",-1,emang tabu cium gitu iya emang bikin eneg citra sok alim sok sok bijak sok sok lai citra sok alim sok suci serius
15,16,negative,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",-1,cium dpn org bnyk sih malu kecuali mgkn lg mabok malu teman helooow buah teman tdk libat cium bibir coba bayangin sanggup cium bibir ma teman lbh dr teman dasar laku kids jaman now emg bego krn micin lho yah
16,17,negative,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,-1,anjing ngamuk hidup dmana pny musuh udh kliatan mna org pny byk musuh
17,18,negative," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",-1,ahhh jaga lahh ngk jaga dasar munafik dasar betina zaman now ellu kali yangg micin loe otak loe selangkang paham moga tuhan ampunin munafik loe cun
18,19,negative," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",-1,yaa ampun upil naruto cermin klo pecun alam banget lu yaa kesi gua prihatin mati aj deh lu ngotorin dunia manusia kau
19,20,negative,"Cuman jual goyangan yak, suara macam taik...",-1,cuman jual goyang yak suara taik
20,21,negative,Kasian ih nyari uang sampe segitunya,-1,kasi ih nyari uang sampe segitunya
21,22,negative,anjir tontonan yg sangat tidak bermutu!,-1,anjir tonton mutu
22,23,negative,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",-1,dlu inul goyang ngebor baju ketat dcekal hrs ny ni dg sgja goyang dada mulu suara sbrpa mrsk moral ank muda nnton bawa nafsu
23,24,negative,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,-1,pnyanyi dangdut kelas bgini nih y nonjolin suara nonjolin dada
24,25,negative,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",-1,najis najis udh homo org kaya gin musnah muka bumi
25,26,negative,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",-1,haduuh orang akhlak bangeg asa kerja antem mulu musuh
26,27,negative,S lonte ini bkn sensasi ngjak ribut org mulu sampah,-1,s lonte bkn sensasi ngjak ribut org mulu sampah
27,28,negative,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,-1,kayak banci dh nenek pny cucu mw operasi mua top ttp aj klo asli ny g cantik dlm
28,29,negative,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,-1,bagus kalo mingkem hahahahahaha jahat akuuu
29,30,negative,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,-1,oplas permak tetep jelek pokok muka tegang kek banci udah sekian
30,31,negative,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",-1,mending liat dek molen biarpun cowok cuantik kaya cewe kayak bencong wkwkwk
31,32,negative,bencong rombeng.menjijikan!!!gay jg.,-1,bencong rombeng jijik gay
32,33,negative,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",-1,orang gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe hina org astagfirullah kaya sih org kaya mulut ky sampah sekolah
33,34,negative,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,-1,cowok anjing cuihhh orang kaya koar gua orang ping kaya dunia orang tau klo orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus lu harta kagak bawa mati pants buang laut lu orang anehhh
34,35,negative,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan",-1,cari sensasi tenar trus banya folowers gt gt kalee darar orang tres ngomong belepotan gk gt kamfungan
35,36,negative,ngomong aja belepotan banyak gaya lu bencong,-1,ngomong belepotan gaya lu bencong
36,37,negative,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!,-1,orang makan taik gin otak udah penuh taik jdi berfikir positif bicara moral dasar kaum laknat banci anjing kbanyakan burit sih lo jdi stres manusia ogah jumpa lo anjing anjing ketemu lo taik
37,38,negative,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ,-1,sikat abiss lahh orng sial kaya gin pimpin negara hormatin jgn mentang president sembarangin marah hina pimpin harap tindak hukum orng
38,39,negative,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya,-1,jijik banget lihat tingkah si upil mudah cepat tidur
39,40,negative,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",-1,edan nih orang udh makan uang rakyat tidur
40,41,negative,"Manusia laknat, matinya di apain ya",-1,manusia laknat mati apain
41,42,negative,Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini,-1,sakit otak hati udah nurani urat malu pajak loh ngegaji orang gila hormat
42,43,negative,Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,-1,anak babi bangsat ken sumpel timah panas congor lu biar modar
43,44,negative,Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,-1,ken sumpel timah panas congor si anak babi pesek buruk rupa
44,45,negative,Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??,-1,hey anak bangsat babi pesek buruk rupa keriting ken penggal leher lu sampe putus lumayan makan buaya
45,46,negative,"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT",-1,ratu pelakor jagat raya lonte malu ngerasa lonte tolong malu dikit
46,47,negative,Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??,-1,mahhhh temu buah ranum buah busuk dah tau busuk manah mentok gitu kalo pelakor
47,48,negative,"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe",-1,ah manda gatel liyat cowo dikit lgsg sosor begok aje ama manda kegatelan cewe
48,49,negative,"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis",-1,si amanda muka tante umur muka boros banget dasar cabe jujur gua kgk suka ama ni haltis
49,50,negative,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen",-1,astagah demen ama cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
50,51,negative,Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah  <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat,-1,alah laki laki jaman skrg bejat ustad kek kek gila bgt perempuan istri stju bgt blg ustazah msuk surga bkan krna poligami msh bnyk bs akhlak bs masuk surga yaa smoga sih perempuan perempuan pelakor sna azab ampun hidup gk selamat dunia akhirat
51,52,negative,Gilaaaaa pelakor banyak bnget laki2 gatal juga banyak alasan untuk berpoligami woiii mikir pake otak haduh saya pikir dia org pintar tau agama mana baik mana buruk.... Allah menguji kesetiaan dan nafsunya eh malah kaya gtu... Menyakiti istri sama sja menutup pintu rejekimu... Anak istri kau korbankan! Sbg seorg imam keluarga dia telah gagal mmpertahankan rmh tangganya mencoreng nama baik nya sndiri... Smua org suka skrg benci sama dia.. M,-1,gilaaaaa pelakor bnget laki gatal alas poligam woiii mikir pake otak haduh pikir org pintar tau agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri kau korban sbg seorg imam keluarga gagal mmpertahankan rmh tangga coreng nama sndiri smua org suka skrg benci m
52,53,negative,"Biasalah kalo pelakor banyak yang lbh ancur mukanya dari istri sah.. barang bagus pasti cepat laku, karena pelakor jelek nggak laku makanya ngembat laki orang.. ya udah sama2 GATEL kok.. cocok wes..  <USERNAME>",-1,kalo pelakor lbh ancur muka istri sah barang bagus cepat laku pelakor jelek nggak laku ngembat laki orang udah gatel cocok wes
53,54,negative,"lama2 ilfil deh sm ni ertong. caption/ig story nya ngomongin org mlu, org kan jd ambigu nilai si a si b si c. udah gt kaya paling di zholimi, salahinnya depan lawan dong jgn ngmg di status ah. kata nya dewasa ??",-1,ilfil deh ni ertong caption ig story ngomongin org mlu org ambigu nilai si a si b si c udah gt kaya zholimi salahinnya lawan jgn ngmg status ah dewasa
54,55,negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",-1,pikir manusia bodoh eehhh tante oma empo otak lu picik bngt jga manusi larang emang dunia orang larang ngungkapin unek stupid human
55,56,negative,"Heran deh yg ngatain si via baperan ya wajar lah dese baper karena udin muak sama orang yg munafik sok""an baik sama dese, lah apa kabar yg sering baperan sama laki orang ? Ga pada nyadar diri tuh pemujanya att, bukannya pada gotong royong buat nasehatin att ini malah menggila buat muja"" att dan mojokin viaa. Dese juga manusia keles ahh",-1,heran deh ngatain si via baperan wajar dese baper udin muak orang munafik sok an dese kabar baperan laki orang nyadar puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
56,57,negative," <USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s",-1,komen via nyinyir mulu duh kyak nyinyirin orang parah kalo org sok bener gitu pdhal media sosial hak instagram instagram nyinyir pake ig s
57,58,negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",-1,pikir manusia bodoh eehhh tante oma empo otak lu picik bngt jga manusi larang emang dunia orang larang ngungkapin unek stupid human
58,59,negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,-1,ngatain org nyindir netijen goblog masyako
59,60,negative," <USERNAME> cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli.",-1,didik ortunya nagita bagus heran dg balajaer nagita yah rugi junjunganny knp benci bodoh bgt asli
60,61,negative," <USERNAME> pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh..",-1,pdhl km kampung loh pake kerudung mulut cuihh
61,62,negative,Belajaer tuh apa ya? Hahahaha bela artis ampe sebegitunya... manusah2 begoh ????????,-1,belajaer hahahaha bela artis ampe manusah begoh
62,63,negative," <USERNAME> iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la",-1,iya arti norak kampyuung coba liat artis adem ayem liat isyana liat agnezmo liat mba liaaat liat coba telaah deh kasih tau contoh artis better eh cocok la
63,64,negative," <USERNAME> gak usah sok jadi high class mba, liat komenmu sendiri, memang semua artis itu sama, beda2 mbak, ada yg suka curhat di ig, ada yg curhat ke temen ada yg curhat ke Tuhan.... ngak usah trus mulut situ maju dulu otaknya belakangan mikirnya, yg curh",-1,sok high class mba liat komenmu artis beda mbak suka curhat ig curhat temen curhat tuhan ngak trus mulut situ maju otak mikirnya curh
64,65,negative," <USERNAME> lah goblok amat, gak semua netizen yg kontra sm postingan si via ini bakajaer kali, mba/mas. Ih goblok kok dipiara. Lol",-1,goblok netizen kontra postingan si via bakajaer kali mba mas ih goblok piara lol
65,66,negative,Ini siapa sih emg artis? Ko artis indo bukan ny ngurus prestasi malah di sosmed ny beginian mulu isi nya jd jatoh nya kampungan,-1,sih emg artis ko artis indo ny ngurus prestasi sosmed ny mulu isi jatoh kampung
66,67,negative," <USERNAME> baru itu aj kn y mba, apa lagi kaya agnes mo bnyk penghargaan ny tp g kampungan beda am yg ini",-1,aj kn y mba kaya agnes mo bnyk harga ny g kampung beda am
67,68,negative,Munafik bgt yg ngomong curhat di sosmed kampungan... Gua yakin elu juga kitu keleusss wkkwkww..... Mending mba via dia artis cantik bs nyanyi.. La elu pada? Lbh kampungan wkwkwkwkw!!!!,-1,munafik bgt ngomong curhat sosmed kampung gua elu kitu keleusss wkkwkww mending mba via artis cantik bs nyanyi la elu lbh kampung wkwkwkwkw
68,69,negative, <USERNAME>.wawan zzzzz emng ini artis ga punya tmn apa? Dikit dikit att hahaha lagi juga apa apa curhat di sosmed kampungan,-1,wawan emng artis tmn dikit dikit att hahaha curhat sosmed kampung
69,70,negative,Lemes ya mulutnya. Berani lewat ststus udah gitu tulisannya sengaja biar ga kebaca takut kali di labrak. Mmmm artis masih kampungan sih ya jadi wajar lah ya ????????,-1,lemes mulut berani ststus udah gitu tulis sengaja biar baca takut kali labrak mmmm artis kampung sih wajar
70,71,negative, <USERNAME> main main lah ke jawa timur.. Biar ga begok!!,-1,main main jawa timur biar begok
71,72,negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,-1,ngatain org nyindir netijen goblog masyako
72,73,negative," <USERNAME> dia udah nunjukin karyanya, situ pny karya apa? Karya nyinyir hidupnya Via?? Tolol ??",-1,udah nunjukin karya situ pny karya karya nyinyir hidup via tolol
73,74,negative," <USERNAME> siapa bilang gw fansnya Via?? Duh nantangin gw nih org... anak tolol ank alay, jablay!",-1,bilang gw fansnya via duh nantangin gw nih org anak tolol ank alay jablay
74,75,negative, <USERNAME> yutub apaan ya mba? Aplikasi baru ya? Sy taunya youtube. Mba gak tau apa ya seseorg bs dpt penghasilan besar salah satunya dr youtube loh. Mreka jg di bayar apalagi klo bnyk yg ntn video mreka. Sekolah yg bener deh mba biar pinter. Generasi muda,-1,yutub mba aplikasi sy tau youtube mba tau seseorg bs dpt hasil salah dr youtube loh mreka bayar klo bnyk ntn video mreka sekolah bener deh mba biar pinter generasi muda
75,76,negative,"gue suka gangerti deh yaa, kenapa kalo via vallen bikin status atau apalah itu disangkut pautin ama att mulu?? padahal att nya aja biasa aja.. Fansnya sih yg bikin jelek.. Orang kalo di sangkut pautin mulu jg lama-lama gerah kali..",-1,gue suka gangerti deh yaa kalo via vallen bikin status sangkut pautin ama att mulu att fansnya sih bikin jelek orang kalo sangkut pautin mulu gerah kali
76,77,negative,Jujur aja ya ni org malah bagusan kaga oplas..ada tu foto dia sblm dn sesudah oplas..dioplas mukanya aneh...kyknya gagal oplasnya...,-1,jujur ni org bagus kaga oplas tu foto sblm dn oplas dioplas muka aneh kyknya gagal oplasnya
77,78,negative,Noraaak abiiis... Baru kebeli emas az pamer aplg mainan berlian ciiinnnnn.... ??,-1,noraaak abiiis kebel emas az pamer aplg main berlian ciiinnnnn
78,79,negative,Before and after pasca oplas ga ngefek ya.. tetep jelek n serem mukanya..ahahahhaha..,-1,before and after pasca oplas ngefek tetep jelek n rem muka ahahahhaha
79,80,negative,"Salfok ke mukanya, sumpah jelek... Oplas apaan model begitu... Failed!!!",-1,salfok muka sumpah jelek oplas model failed
80,81,negative,Norak bener. Kegaet penjahat baru rasa.,-1,norak bener gaet jahat
81,82,negative,"Najis..,apalagi d philipine biasa bgt kali,d sana aj bangga..jd perusak moral ko bangga..najis banget liatnya.ckp d sini aj komen ny,dia pngn ngetop lwt nitezerrre.....wkwkwk..ngarep laku",-1,najis d philipine bgt kali d aj bangga usak moral ko bangga najis banget liat ckp d aj komen ny pngn ngetop lwt nitezerrre wkwkwk ngarep laku
82,83,negative,Yang gua bingung jujur kenapa media pada rebutan ngeliput ini orang. Kayaknya cuman net doang media informasi yang masih waras,-1,gua bingung jujur media rebut ngeliput orang kayak cuman net doang media informasi waras
83,84,negative,"Bukankah Jedun yg ga becus jadi perempuan terhormat, ga becus jadi perempuan cerdas, ga becus jadi perempuan yg mencari suami sah bukan suami orang, ga becus jadi perempuan yg menghindari narkoba, ga becus jadi perempuan yg menjaga nama baik keluarga... semoga hanya ada satu perempuan yg kayak kamu di dunia ini ya Jedun",-1,jedun becus perempuan hormat becus perempuan cerdas becus perempuan cari suami sah suami orang becus perempuan hindar narkoba becus perempuan jaga nama keluarga moga perempuan kayak dunia jedun
84,85,negative,"cewe yg bgni yg hrsnya gosong jd abu aja di kebakaran pabrik yg lg viral kmrn tu. bnr2 slain ga brguna, gda otak.. cm modal ngangkang trs gebet laki org trs bangga.. btw klo emg instastory nya buat nyindir sesebini tua mah. ehhh at least biar ga becus jd prewi tp becus cuii jd emak. buktinya anak nya bejibun trs smua pro ke emaknya drpd bapaknya",-1,cewe bgni hrsnya gosong abu bakar pabrik lg viral kmrn tu bnr slain brguna gda otak cm modal ngangkang trs gebet laki org trs bangga btw klo emg instastory nyindir bin tua ehhh at least biar becus prewi becus cuii emak bukti anak bejibun trs smua pro emaknya drpd
85,86,negative,"Hahaha..kasian ya...gak becus jadi perem...harus ngerebut laki orang dulu biar dikata ""perempuan""? Dasar perempuan tak sadar diri ente cuy.",-1,hahaha kasi becus rem ngerebut laki orang biar perempuan dasar perempuan sadar ente cuy
86,87,negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,-1,dasar artis abal abal enggk laku layar kaca udh enggk duit kere miskin maen k dukun elmu pelet rebut suami org kaya
87,88,negative,"ih dia kan paling becus makrum, paling becus ngrebut suami orang hehe????",-1,ih becus makrum becus ngrebut suami orang hehe
88,89,negative,Eeee si pelacur. Situ becus jd brempuan emang? Becus jadi sampah sih iya. Edeuuuuuh lonte lonte,-1,eeee si lacur situ becus brempuan emang becus sampah sih iya edeuuuuuh lonte lonte
89,90,negative,"Biarin,,,puas puasin mumpung deseu masih brasa muda. Ntar klo dah tua juga nyaho! Karma itu ada.",-1,biarin puas puasin mumpung deseu brasa muda ntar klo dah tua nyaho karma
90,91,negative,Dia ini punya anak perempuan lho. Ibu macam apa contohin jelek ke anaknya. Jauh dari kata BECUS ini perempuan. Amit amit...,-1,anak perempuan lho contohin jelek anak becus perempuan amit amit
91,92,negative,Kaya becus aja jd permpuan dia yng g becus jd perempuan ko sukanya sm laki orng heheh,-1,kaya becus permpuan yng g becus perempuan ko suka laki orng heheh
92,93,negative,Yg gk becus tuh loh jedun...hidup nya cuma bisanya ngerusak kbhgiaan org lain .mau hidup serba mewah tp g mau krja mlh morotin laki org..karma psti akn mnghampirimu????????,-1,gk becus loh jedun hidup ngerusak kbhgiaan org hidup serba mewah g krja mlh morotin laki org karma psti akn mnghampirimu
93,94,negative,Gue gak suka sm ni orang. Idupnya kebanyakan ribut.,-1,gue suka ni orang idupnya ribut
94,95,negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,-1,dasar artis abal abal enggk laku layar kaca udh enggk duit kere miskin maen k dukun elmu pelet rebut suami org kaya
95,96,negative,"Yg nama ny plagiat ya plagiat, walaupun laku tp tetep ajah ciptaan dri hasil plagiat..wkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah",-1,nama ny plagiat plagiat laku tetep ajah cipta dri hasil plagiat wkwkwkwk gua ogah dwngerin ajah udh pngen muntah
96,97,negative,"Dasar plagiat semuanya, ga bisa kreatip.memalukab bgt",-1,dasar plagiat kreatip memalukab bgt
97,98,negative,"Dan dengan begonya dia bilang ""apanya yang sama yaaa liriknya aja tentang percintaan gitu kok lagu saya"" bener2 tolol si ayu. Gapunya kuping apa y orang yg dipermasalahin nadanya ????????",-1,bego bilang yaaa lirik cinta gitu lagu bener tolol si ayu gapunya kuping y orang dipermasalahin nada
98,99,negative,Itu pacarnya anggel pietrs kali.... dan cowok itu juga masih bocah....  <USERNAME> yaelah jes.. terxta kelakuan mu sama aja sprti ayuting2 Hidupmu penuh dengan drama MURAHAN,-1,pacar anggel pietrs kali cowok bocah yaelah jes terxta laku mu sprti ayuting hidup penuh drama murah
99,100,negative,"japok gateeel emang,uda jelas dia ada main sama si mamad,sampe"" si jessica dimusuhin,deddy corbuzier aja jijik sama si japok semenjak nagita diundang di hitam putih berarti nagita cerita di belakang panggung,itu aja sih menurut gue",-1,japok gateeel emang uda main si mamad sampe si jessica dimusuhin deddy corbuzier jijik si japok semenjak nagita undang hitam putih arti nagita cerita panggung sih gue
100,101,negative, <USERNAME> lebih memalukan anda buk ...ngomong pelakor emang ibuk udah pernah jadi pelakor ya kok bisa tau ayu pelakor wkwkwkwkwk. ..awas ibu nanti malah justru rumah tangga ibu yg dimasukin pelakor atau anaknya nanti jadi pelakor ..,-1,malu buk ngomong pelakor emang ibuk udah pelakor tau ayu pelakor wkwkwkwkwk awas rumah tangga dimasukin pelakor anak pelakor
101,102,negative,Wah itu Kerdus mulutnya busuk...jangan jangan sampah makanannya,-1,kerdus mulut busuk sampah makan
102,103,negative, <USERNAME> TAI loe di gedein bagus buat pupuk jngan bacot loe goblok !!! nih cewek knpa bawa2 suku ?,-1,tai loe gedein bagus pupuk jngan bacot loe goblok nih cewek knpa bawa suku
